Domain Name,IP
acm.iiitd.edu.in,192.168.1.27
deepgraphh.ahujalab.iiitd.edu.in,192.168.30.53
metabokiller.ahujalab.iiitd.edu.in,192.168.30.53
odorify.ahujalab.iiitd.edu.in,192.168.30.53
aida.iiitd.edu.in,192.168.1.27
apps.iiitd.edu.in,192.168.1.71
astronuts.iiitd.edu.in,192.168.1.27
audiobytes.iiitd.edu.in,192.168.1.27
byld.iiitd.edu.in,192.168.3.70
byld5.iiitd.edu.in,192.168.1.121
cc.iiitd.edu.in,192.168.1.27
cellatlassearch.iiitd.edu.in,192.168.2.104
cloudlab.iiitd.edu.in,192.168.3.54
convergence.iiitd.edu.in,192.168.1.27
cosylab.iiitd.edu.in,192.168.1.92
crypto.iiitd.edu.in,192.168.1.27
cyborg.iiitd.edu.in,192.168.1.27
d4rkc0de.iiitd.edu.in,192.168.1.27
dsc.iiitd.edu.in,192.168.1.27
ecelabs.iiitd.edu.in,192.168.1.27
ent.iiitd.edu.in,192.168.1.27
erp.iiitd.edu.in,192.168.2.22
esya.iiitd.edu.in,192.168.1.104
fh.iiitd.edu.in,192.168.1.240
achieve.fh.iiitd.edu.in,192.168.1.240
auth.fh.iiitd.edu.in,192.168.1.240
booking.fh.iiitd.edu.in,192.168.1.240
crams.fh.iiitd.edu.in,192.168.1.240
fms.fh.iiitd.edu.in,192.168.1.240
hostel.fh.iiitd.edu.in,192.168.1.240
nodues.fh.iiitd.edu.in,192.168.1.240
share.fh.iiitd.edu.in,192.168.1.240
wellbeing.fh.iiitd.edu.in,192.168.1.240
findmystuff.iiitd.edu.in,192.168.1.133
foobar.iiitd.edu.in,192.168.1.116
gamecraft.iiitd.edu.in,192.168.1.27
graphics.iiitd.edu.in,192.168.1.27
idp.iiitd.edu.in,192.168.1.31
indocrypt2016.iiitd.edu.in,192.168.1.27
induction.iiitd.edu.in,192.168.1.27
innovatedelhi.iiitd.edu.in,192.168.1.27
it.iiitd.edu.in,192.168.3.70
jobport.iiitd.edu.in,192.168.1.119
kracr.iiitd.edu.in,192.168.1.166
easyscheduler.kracr.iiitd.edu.in,192.168.1.255
library.iiitd.edu.in,192.168.3.83
madtoes.iiitd.edu.in,192.168.1.27
ayushmanbharat.melange.iiitd.edu.in,192.168.2.71
ee.kobo.melange.iiitd.edu.in,192.168.1.40
