Domain Name,IP
one-ird.iiitd.edu.in,192.168.3.81
rms.iiitd.edu.in,192.168.3.172
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
arms.iiitd.edu.in,192.168.1.79
idp.iiitd.edu.in,192.168.1.31
claps.iiitd.edu.in,192.168.3.56
chikitsachakra.tavlab.iiitd.edu.in,192.168.3.74
chikitsachakra.tavlab.iiitd.edu.in,192.168.3.74
api.irb.iiitd.edu.in,192.168.3.128
sapnansl.nrl.iiitd.edu.in,192.168.29.160
greenpreneurs.iiitd.edu.in,46.202.166.45
tavlab.iiitd.edu.in,192.168.3.74
tavlab.iiitd.edu.in,192.168.3.74
raylab.iiitd.edu.in,192.168.30.176
raylab.iiitd.edu.in,192.168.30.176
nodues.iiitd.edu.in,192.168.3.198
smpportal.iiitd.edu.in,192.168.3.168
crohnaidsadmin.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsapi.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsadmin.tavlab.iiitd.edu.in,192.168.1.153
crohnaids.tavlab.iiitd.edu.in,192.168.1.153
ims.ecelabs.iiitd.edu.in,192.168.3.169
ims.ecelabs.iiitd.edu.in,192.168.3.169
taallocation.iiitd.edu.in,192.168.3.170
taallocation.iiitd.edu.in,192.168.3.170
armsdev.iiitd.edu.in,192.168.2.61
armsdev.iiitd.edu.in,192.168.2.61
irb.iiitd.edu.in,192.168.3.127
irb.iiitd.edu.in,192.168.3.127
achieve.fh.iiitd.edu.in,192.168.1.240
achieve.fh.iiitd.edu.in,192.168.1.240
digest.raylab.iiitd.edu.in,192.168.30.176
digest.raylab.iiitd.edu.in,192.168.30.176
odorify.ahujalab.iiitd.edu.in,192.168.30.53
odorify.ahujalab.iiitd.edu.in,192.168.30.53
metabokiller.ahujalab.iiitd.edu.in,192.168.30.53
metabokiller.ahujalab.iiitd.edu.in,192.168.30.53
deepgraphh.ahujalab.iiitd.edu.in,192.168.30.53
deepgraphh.ahujalab.iiitd.edu.in,192.168.30.53
phd-portal.iiitd.edu.in,192.168.3.166
phd-portal.iiitd.edu.in,192.168.3.166
techtree.iiitd.edu.in,192.168.1.77
techtree.iiitd.edu.in,192.168.1.77
evokg.ahujalab.iiitd.edu.in,192.168.24.13
evokg.ahujalab.iiitd.edu.in,192.168.24.13
wellbeing.iiitd.edu.in,192.168.3.137
wellbeing.iiitd.edu.in,192.168.3.137
ecgdetect.sbilab.iiitd.edu.in,192.168.18.110
ecgdetect.sbilab.iiitd.edu.in,192.168.18.110
www.ea.iiitd.edu.in,198.49.23.145
www.ea.iiitd.edu.in,198.49.23.144
ea.iiitd.edu.in,198.185.159.144
ea.iiitd.edu.in,198.185.159.145
ciclop.raylab.iiitd.edu.in,192.168.30.176
ciclop.raylab.iiitd.edu.in,192.168.30.176
weave.iiitd.edu.in,185.199.109.153
weave.iiitd.edu.in,185.199.110.153
cosylab.iiitd.edu.in,192.168.1.92
cosylab.iiitd.edu.in,192.168.1.92
neurocare-liggen.iiitd.edu.in,192.168.3.158
neurocare-liggen.iiitd.edu.in,192.168.3.158
cloudlab.iiitd.edu.in,192.168.3.54
cloudlab.iiitd.edu.in,192.168.3.54
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
eda.tavlab.iiitd.edu.in,192.168.3.144
eda.tavlab.iiitd.edu.in,192.168.3.144
dataquality.tavlab.iiitd.edu.in,192.168.1.52
dataquality.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
neurocare-liggen.iiitd.edu.in,192.168.3.158
neurocare-liggen.iiitd.edu.in,192.168.3.158
neurocare-liggen.iiitd.edu.in,192.168.3.158
neurocare-liggen.iiitd.edu.in,192.168.3.158
amrorbit.tavlab.iiitd.edu.in,192.168.3.74
amrorbit.tavlab.iiitd.edu.in,192.168.3.74
one-ird.iiitd.edu.in,192.168.3.81
one-ird.iiitd.edu.in,192.168.3.81
rms.iiitd.edu.in,192.168.3.172
rms.iiitd.edu.in,192.168.3.172
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
1pxdesignconf.iiitd.edu.in,192.168.1.27
1pxdesignconf.iiitd.edu.in,192.168.1.27
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
arms.iiitd.edu.in,192.168.1.79
arms.iiitd.edu.in,192.168.1.79
idp.iiitd.edu.in,192.168.1.31
idp.iiitd.edu.in,192.168.1.31
claps.iiitd.edu.in,192.168.3.56
claps.iiitd.edu.in,192.168.3.56
chikitsachakra.tavlab.iiitd.edu.in,192.168.3.74
chikitsachakra.tavlab.iiitd.edu.in,192.168.3.74
api.irb.iiitd.edu.in,192.168.3.128
api.irb.iiitd.edu.in,192.168.3.128
greenpreneurs.iiitd.edu.in,46.202.166.45
greenpreneurs.iiitd.edu.in,46.202.166.45
greenpreneurs.iiitd.edu.in,46.202.166.45
greenpreneurs.iiitd.edu.in,46.202.166.45
tavlab.iiitd.edu.in,192.168.3.74
tavlab.iiitd.edu.in,192.168.3.74
raylab.iiitd.edu.in,192.168.30.176
raylab.iiitd.edu.in,192.168.30.176
nodues.iiitd.edu.in,192.168.3.198
nodues.iiitd.edu.in,192.168.3.198
smpportal.iiitd.edu.in,192.168.3.168
smpportal.iiitd.edu.in,192.168.3.168
crohnaidsapi.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsapi.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsadmin.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsadmin.tavlab.iiitd.edu.in,192.168.1.153
crohnaids.tavlab.iiitd.edu.in,192.168.1.153
crohnaids.tavlab.iiitd.edu.in,192.168.1.153
ims.ecelabs.iiitd.edu.in,192.168.3.169
ims.ecelabs.iiitd.edu.in,192.168.3.169
taallocation.iiitd.edu.in,192.168.3.170
taallocation.iiitd.edu.in,192.168.3.170
armsdev.iiitd.edu.in,192.168.2.61
armsdev.iiitd.edu.in,192.168.2.61
irb.iiitd.edu.in,192.168.3.127
irb.iiitd.edu.in,192.168.3.127
achieve.fh.iiitd.edu.in,192.168.1.240
achieve.fh.iiitd.edu.in,192.168.1.240
digest.raylab.iiitd.edu.in,192.168.30.176
digest.raylab.iiitd.edu.in,192.168.30.176
phd-portal.iiitd.edu.in,192.168.3.166
phd-portal.iiitd.edu.in,192.168.3.166
techtree.iiitd.edu.in,192.168.1.77
techtree.iiitd.edu.in,192.168.1.77
odorify.ahujalab.iiitd.edu.in,192.168.30.53
odorify.ahujalab.iiitd.edu.in,192.168.30.53
metabokiller.ahujalab.iiitd.edu.in,192.168.30.53
metabokiller.ahujalab.iiitd.edu.in,192.168.30.53
deepgraphh.ahujalab.iiitd.edu.in,192.168.30.53
deepgraphh.ahujalab.iiitd.edu.in,192.168.30.53
wellbeing.iiitd.edu.in,192.168.3.137
wellbeing.iiitd.edu.in,192.168.3.137
ecgdetect.sbilab.iiitd.edu.in,192.168.18.110
ecgdetect.sbilab.iiitd.edu.in,192.168.18.110
ciclop.raylab.iiitd.edu.in,192.168.30.176
ciclop.raylab.iiitd.edu.in,192.168.30.176
weave.iiitd.edu.in,185.199.108.153
weave.iiitd.edu.in,185.199.111.153
cosylab.iiitd.edu.in,192.168.1.92
cosylab.iiitd.edu.in,192.168.1.92
cloudlab.iiitd.edu.in,192.168.3.54
cloudlab.iiitd.edu.in,192.168.3.54
www.ea.iiitd.edu.in,198.49.23.145
www.ea.iiitd.edu.in,198.49.23.144
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
eda.tavlab.iiitd.edu.in,192.168.3.144
eda.tavlab.iiitd.edu.in,192.168.3.144
dataquality.tavlab.iiitd.edu.in,192.168.1.52
dataquality.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
antibioticsteward.tavlab.iiitd.edu.in,192.168.1.52
opine.iiitd.edu.in,192.168.1.120
opine.iiitd.edu.in,192.168.1.120
ea.iiitd.edu.in,198.185.159.144
ea.iiitd.edu.in,198.185.159.145
amrorbit.tavlab.iiitd.edu.in,192.168.3.74
amrorbit.tavlab.iiitd.edu.in,192.168.3.74
one-ird.iiitd.edu.in,192.168.3.81
one-ird.iiitd.edu.in,192.168.3.81
rms.iiitd.edu.in,192.168.3.172
rms.iiitd.edu.in,192.168.3.172
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
webs.iiitd.edu.in,192.168.22.132
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
federatedhealthplatform.tavlab.iiitd.edu.in,192.168.3.144
idp.iiitd.edu.in,192.168.1.31
idp.iiitd.edu.in,192.168.1.31
arms.iiitd.edu.in,192.168.1.79
arms.iiitd.edu.in,192.168.1.79
claps.iiitd.edu.in,192.168.3.56
claps.iiitd.edu.in,192.168.3.56
chikitsachakra.tavlab.iiitd.edu.in,192.168.3.74
chikitsachakra.tavlab.iiitd.edu.in,192.168.3.74
api.irb.iiitd.edu.in,192.168.3.128
api.irb.iiitd.edu.in,192.168.3.128
tavlab.iiitd.edu.in,192.168.3.74
tavlab.iiitd.edu.in,192.168.3.74
raylab.iiitd.edu.in,192.168.30.176
raylab.iiitd.edu.in,192.168.30.176
nodues.iiitd.edu.in,192.168.3.198
nodues.iiitd.edu.in,192.168.3.198
smpportal.iiitd.edu.in,192.168.3.168
smpportal.iiitd.edu.in,192.168.3.168
crohnaidsapi.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsapi.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsadmin.tavlab.iiitd.edu.in,192.168.1.153
crohnaidsadmin.tavlab.iiitd.edu.in,192.168.1.153
crohnaids.tavlab.iiitd.edu.in,192.168.1.153
crohnaids.tavlab.iiitd.edu.in,192.168.1.153
raylab.iiitd.edu.in,192.168.30.176
raylab.iiitd.edu.in,192.168.30.176
ims.ecelabs.iiitd.edu.in,192.168.3.169
ims.ecelabs.iiitd.edu.in,192.168.3.169
taallocation.iiitd.edu.in,192.168.3.170
taallocation.iiitd.edu.in,192.168.3.170
armsdev.iiitd.edu.in,192.168.2.61
armsdev.iiitd.edu.in,192.168.2.61
irb.iiitd.edu.in,192.168.3.127
irb.iiitd.edu.in,192.168.3.127
achieve.fh.iiitd.edu.in,192.168.1.240
achieve.fh.iiitd.edu.in,192.168.1.240
digest.raylab.iiitd.edu.in,192.168.30.176
digest.raylab.iiitd.edu.in,192.168.30.176
phd-portal.iiitd.edu.in,192.168.3.166
phd-portal.iiitd.edu.in,192.168.3.166
odorify.ahujalab.iiitd.edu.in,192.168.30.53
odorify.ahujalab.iiitd.edu.in,192.168.30.53
